Use,Level 1,title level 1,Level 2,title level 2,Level 3,title level 3,function,title,Text,Work
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Hymn,Hymn,Matines - Hymn,Quem terra pontus,
Agde,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm III,Qui confidunt,
Agde,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Short lesson,Short lesson,Sexte - Short lesson,Radicavi in populo,
Agde,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm I,Saepe expugnaverunt me,
Agde,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon I,Ave Maria gratia plena,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Respond,Matines - Respond I,Sancta et immaculata virginitas,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Lesson,Matines - Lesson III,Sancta Maria succurre,
Agde,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Hymn,Vêpres - Hymn,Ave maris stella,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon I,Sub tuum praesidium,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm I,Ad Dominum cum tribularer,
Agde,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm III,Beati omnes qui timent,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon I,Benedicta tu,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm II,Caeli enarrant,
Agde,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm II,De profundis clamavi ad te,
Agde,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm I,Ad te levavi oculos meos,
Agde,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm I,Dixit Dominus,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm I,Domine Dominus noster,
Agde,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm III,Domine non est exaltatum,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm III,Domini est terra,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm I,Dominus regnavit decorem,
Agde,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,Psalms,Psalm,Complies - Psalm III,Ecce nunc,
Agde,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,Psalms,Psalm,Complies - Psalm II,Ecce quam bonum,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Lesson,Matines - Lesson II,Admitte piissima Dei genitrix,
Agde,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,HSL,Short lesson,Complies - Short lesson,Ego flos campi,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Short lesson,Laudes - Short lesson,Ego quasi vitis,
Agde,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm I,In convertendo,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm III,Laetatus sum in his,
Agde,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm II,Laetatus sum in his,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm II,Levavi oculos meos,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Hymn,Hymn,Prime - Hymn,Memento salutis auctor,
Agde,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,Psalms,Psalm,Complies - Psalm I,Memento Domine David,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon III,Ante torum,
Agde,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm II,Nisi Dominus,
Agde,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm III,Nisi Dominus aedificaverit,
Agde,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm II,Nisi quia Dominus,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Hymn,Laudes - Hymn,O gloriosa domina,
Agde,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,HSL,Hymn,Complies - Hymn,O quam glorifica,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Respond,Matines - Respond III,Ave festiva ferculi,
Agde,Level 1,Hours of the Virgin,Level 2,None,Level 3,Short lesson,Short lesson,None - Short lesson,Quasi cedrus exaltata sum,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Invitatory,Invitatory,Matines - Invitatory,-,
